route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
A,busazur,Palm Express A,Gare SNCF de Cannes - Centre Commercial Minelle,,3,,00e5ff,0b0c0f,1,0,0
B,busazur,Palm Express B,Mouans Sartoux Centre - Lycée Carnot - Gare SNCF de Cannes,,3,,0277bd,FFFFFF,2,0,0
1,busazur,1,Penh Chaï - Alfred de Musset-Ranguin,,3,,4eae32,0b0c0f,4,0,0
2,busazur,2,Blanchisserie - Hôpital de Cannes / Perier - Les Bastides,,3,,3fb5e8,0b0c0f,5,0,0
4,busazur,4,Place Leclerc - Polyclinique / Place Aubanel - Hôtel de Ville,,3,,783cbd,FFFFFF,6,0,0
6A,busazur,6A,Le Colombier - Hôtel de Ville,,3,,e36d9d,FFFFFF,9,0,0
6B,busazur,6B,Parc Saint-Paul / Saint Michel Collines - Hôtel de Ville,,3,,e36d9d,FFFFFF,10,0,0
7,busazur,7,Mare Monte - Hôtel de Ville - Polyclinique,,3,,948177,FFFFFF,11,0,0
PAD7A,pad,PAD 7A,Villa Font de Veyre - Hôtel de Ville,Le service Palm à la Demande est accessible uniquement après adhésion et sur réservation.,3,,c6a5ca,FFFFFF,80,2,2
8,busazur,Palm Imperial,Quai Laubeuf - Croisette - Palm Beach,,3,,e83b3b,FFFFFF,3,0,0
9,busazur,9,Gare SNCF de Cannes - Col Saint Antoine - Vallauris-Fournas,,3,,e94e1b,FFFFFF,12,0,0
10,busazur,10,Les Pins Parasols - La Palestre / Mirandoles - Hôtel de Ville,,3,,ff3333,FFFFFF,7,0,0
11,busazur,11,Penh Chaï - Rocheville - Gabians,,3,,cccc00,FFFFFF,13,0,0
11A,busazur,11A,Mairie du Cannet / Musée Bonnard - Les Pin Parasols,,3,,990033,FFFFFF,14,0,0
12,busazur,12,Les Mirandoles II - Lycée Carnot - Hôtel de Ville,,3,,ff9933,FFFFFF,15,0,0
PAD13,pad,PAD 13,Place Leclerc - Les Collines / Centre Helio Marin,Le service Palm à la Demande est accessible uniquement après adhésion et sur réservation.,3,,cc9966,FFFFFF,81,2,2
14,busazur,14,Gare SNCF Le Bosquet - Place du Marché - Gabians,,3,,627675,FFFFFF,16,0,0
17,busazur,17,Hôpital de Cannes - Ranguin - Gare Routière de Mandelieu,,3,,33cccc,FFFFFF,17,0,0
18,busazur,18,Gare Routière de Mandelieu <-> La Roquette-sur-Siagne,,3,,1e4ea2,FFFFFF,24,0,0
