route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_sort_order
U,1,U,"Tech.Mer/Pôle d'Act. Tln Est",,3,FC9D44,FFFFFF,1
0001,1,1,"Hôpital Ste Musse / Coupiane -  Beaucaire / Cordeille",,3,003893,FFFFFF,2
0002,1,2,"Valgora - La Seyne",,3,00C7B2,FFFFFF,2
0003,1,3,"4 Ch. des Routes - Mourillon",,3,D81E05,FFFFFF,3
0006,1,6,"Ripelle - Terre Promise",,3,06A7DC,FFFFFF,4
0008,1,Renfort 2,"La Seyne - Blache",,3,00C7B2,FFFFFF,5
0009,1,9,"Hôpital - Gare Toulon",,3,5BBF21,FFFFFF,6
0010,1,10,"Lyautey - Darboussèdes",,3,444746,FFFFFF,7
0011,1,11,"Blache - Montserrat",,3,9C4E96,FFFFFF,8
011B,1,11B,"La Baume - Blache",,3,9C4E96,FFFFFF,9
0012,1,12,"Portes Oll. - La Seyne",,3,D81E05,FFFFFF,10
0015,1,15,"Bas Faron-Port-Liberté-Gare",,3,000000,D81E05,11
0016,1,16,"Moulin Premier - Maurels",,3,9C4E96,FFFFFF,12
0017,1,17,"L'oratoire - Lycée Costebelle",,3,D81E04,FFFFFF,13
0018,1,18,"Blache - Sablettes",,3,AB9ECB,FFFFFF,14
0019,1,Renfort 2,"Planquette - Observatoire",,3,00C7B2,FFFFFF,15
0020,1,20,"Ft Rouge/Ft Blanc-Ft d'Art.",,3,F77F00,FFFFFF,16
0023,1,23,"Gare - Espace 3000",,3,7B2035,FFFFFF,17
0028,1,28,"Sablettes -  St mandrier",,3,5BBF21,FFFFFF,18
0029,1,29,"Lycée Costebelle - Gare Rout.",,3,00B760,FFFFFF,19
0031,1,31,"Art. de Marine - Ste Claire",,3,F77F00,FFFFFF,20
0033,1,33,"Navette Mourillon",,3,FCE016,000000,21
0036,1,36,"Ameniers-Ste Roseline/B.Herb.",,3,69227B,FFFFFF,22
0039,1,39,"Lycée Golf Hôtel-Gare(Toulon)",,3,007B3E,FFFFFF,23
0040,1,40,"La Barre-Sup.Toulon/Mas Faron",,3,3A75C4,FFFFFF,24
0055,1,55,"Revest-Campus Garde/Valette",,3,5BBF21,FFFFFF,25
0063,1,63,"Moulin Premier > Aéroport Toulon/Hyères",,3,9AAAD7,FFFFFF,27
0067,1,67,"Hyères Joffre - Tour Fondue",,3,F8E415,000000,29
0070,1,70,"Gare Routière - Bonnegrâce",,3,009BAB,FFFFFF,30
0072,1,72,"Langevin - Gare (Ollioules/Sanary)",,3,BAD806,FFFFFF,31
0081,1,81,"Langevin - Le Mai / Fabregas",,3,D81E05,FFFFFF,32
0082,1,82,"Gare - Mont des Oiseaux",,3,F77F00,FFFFFF,33
0083,1,83,"Sablettes - Gare Ollioules/Sanary",,3,F8E415,000000,34
0084,1,84,"Sablettes - Reppe",,3,FA95C5,000000,35
0087,1,87,"Seyne Centre - Le Brusc",,3,9AAAD7,FFFFFF,36
