route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851567,"La Seyne",,0,912630,8M0011,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851568,"La Seyne",,0,912630,8M0011,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851569,"La Seyne",,0,912631,8M0011,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851570,"La Seyne",,0,912631,8M0011,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851571,"La Seyne",,0,912631,8M0011,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851572,"La Seyne",,0,912631,8M0011,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851573,"La Seyne",,0,912631,8M0011,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851574,"La Seyne",,0,912631,8M0011,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851575,Toulon,,1,912630,8M0010,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851576,Toulon,,1,912630,8M0010,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851577,Toulon,,1,912631,8M0010,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851578,Toulon,,1,912631,8M0010,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851579,Toulon,,1,912631,8M0010,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851580,Toulon,,1,912631,8M0010,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851581,Toulon,,1,912631,8M0010,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851582,Toulon,,1,912631,8M0010,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851583,"La Seyne",,0,912632,8M0011,1,2
8M,_M008DHv-Dimanche-1-PA_24_25-0000001-,4851584,Toulon,,1,912632,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853274,"La Seyne",,0,912841,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853275,"La Seyne",,0,912841,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853276,"La Seyne",,0,912841,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853277,"La Seyne",,0,912841,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853278,"La Seyne",,0,912841,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853279,"La Seyne",,0,912841,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853280,"La Seyne",,0,912842,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853281,"La Seyne",,0,912842,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853282,"La Seyne",,0,912842,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853283,"La Seyne",,0,912842,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853284,"La Seyne",,0,912842,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853285,"La Seyne",,0,912842,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853286,"La Seyne",,0,912841,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853287,"La Seyne",,0,912841,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853288,"La Seyne",,0,912841,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853289,"La Seyne",,0,912841,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853290,"La Seyne",,0,912841,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853291,"La Seyne",,0,912841,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853292,"La Seyne",,0,912841,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853293,"La Seyne",,0,912842,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853294,"La Seyne",,0,912842,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853295,"La Seyne",,0,912842,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853296,"La Seyne",,0,912842,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853297,"La Seyne",,0,912842,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853298,"La Seyne",,0,912842,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853299,"La Seyne",,0,912842,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853300,"La Seyne",,0,912841,8M0011,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853301,Toulon,,1,912841,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853302,Toulon,,1,912841,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853303,Toulon,,1,912841,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853304,Toulon,,1,912841,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853305,Toulon,,1,912841,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853306,Toulon,,1,912841,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853307,Toulon,,1,912842,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853308,Toulon,,1,912842,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853309,Toulon,,1,912842,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853310,Toulon,,1,912842,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853311,Toulon,,1,912842,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853312,Toulon,,1,912842,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853313,Toulon,,1,912841,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853314,Toulon,,1,912841,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853315,Toulon,,1,912841,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853316,Toulon,,1,912841,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853317,Toulon,,1,912841,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853318,Toulon,,1,912841,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853319,Toulon,,1,912841,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853320,Toulon,,1,912842,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853321,Toulon,,1,912842,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853322,Toulon,,1,912842,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853323,Toulon,,1,912842,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853324,Toulon,,1,912842,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853325,Toulon,,1,912842,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853326,Toulon,,1,912842,8M0010,1,2
8M,_M008SaH-Samedi-1-PA_24_25-0000010-,4853327,Toulon,,1,912841,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-0000100-,4854852,"La Seyne",,0,913007,8M0013,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111000-,4854794,"La Seyne",,0,913007,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854763,"La Seyne",,0,913006,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854764,Toulon,,1,913006,8M0012,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854765,Toulon,,1,913003,8M0012,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854766,Toulon,,1,913006,8M0012,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854767,Toulon,,1,913003,8M0012,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854768,"La Seyne",,0,913003,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854769,"La Seyne",,0,913003,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854770,"La Seyne",,0,913004,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854771,"La Seyne",,0,913003,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854772,"La Seyne",,0,913004,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854773,"La Seyne",,0,913003,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854774,"La Seyne",,0,913004,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854775,"La Seyne",,0,913007,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854776,"La Seyne",,0,913007,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854777,"La Seyne",,0,913005,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854778,"La Seyne",,0,913003,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854779,"La Seyne",,0,913007,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854780,"La Seyne",,0,913003,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854781,"La Seyne",,0,913004,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854782,"La Seyne",,0,913004,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854783,"La Seyne",,0,913004,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854784,"La Seyne",,0,913003,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854785,"La Seyne",,0,913007,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854786,"La Seyne",,0,913003,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854787,"La Seyne",,0,913005,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854788,"La Seyne",,0,913003,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854789,"La Seyne",,0,913007,8M0013,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854790,"La Seyne",,0,913007,8M0013,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854791,"La Seyne",,0,913005,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854792,"La Seyne",,0,913003,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854793,"La Seyne",,0,913005,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854795,"La Seyne",,0,913003,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854796,"La Seyne",,0,913005,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854797,"La Seyne",,0,913007,8M0013,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854798,"La Seyne",,0,913003,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854799,"La Seyne",,0,913007,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854800,"La Seyne",,0,913006,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854801,"La Seyne",,0,913003,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854802,"La Seyne",,0,913007,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854803,"La Seyne",,0,913003,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854804,"La Seyne",,0,913007,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854805,"La Seyne",,0,913005,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854806,"La Seyne",,0,913005,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854807,"La Seyne",,0,913007,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854808,"La Seyne",,0,913007,8M0011,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854809,Toulon,,1,913003,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854810,Toulon,,1,913004,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854811,Toulon,,1,913003,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854812,Toulon,,1,913004,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854813,Toulon,,1,913003,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854814,Toulon,,1,913004,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854815,Toulon,,1,913003,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854816,Toulon,,1,913004,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854817,Toulon,,1,913003,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854818,Toulon,,1,913004,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854819,Toulon,,1,913007,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854820,Toulon,,1,913004,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854821,Toulon,,1,913007,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854822,Toulon,,1,913003,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854823,Toulon,,1,913007,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854824,Toulon,,1,913003,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854825,Toulon,,1,913007,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854826,Toulon,,1,913005,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854827,Toulon,,1,913007,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854828,Toulon,,1,913005,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854829,Toulon,,1,913007,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854830,Toulon,,1,913005,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854831,Toulon,,1,913007,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854832,Toulon,,1,913005,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854833,Toulon,,1,913005,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854834,Toulon,,1,913007,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854835,Toulon,,1,913005,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854836,Toulon,,1,913003,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854837,Toulon,,1,913007,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854838,Toulon,,1,913003,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854839,Toulon,,1,913005,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854840,Toulon,,1,913007,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854841,Toulon,,1,913003,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854842,Toulon,,1,913007,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854843,Toulon,,1,913003,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854844,Toulon,,1,913007,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854845,Toulon,,1,913007,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854846,Toulon,,1,913003,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854853,"La Seyne",,1,913007,8M0010,1,2
8M,_M008SeP-Semaine-1-PA_24_25-1111100-,4854854,"La Seyne",,0,913007,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-0000100-,4854519,"La Seyne",,0,912971,8M0013,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111000-,4854461,"La Seyne",,0,912971,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854430,"La Seyne",,0,912972,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854431,Toulon,,1,912972,8M0012,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854432,Toulon,,1,912968,8M0012,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854433,Toulon,,1,912972,8M0012,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854434,Toulon,,1,912968,8M0012,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854435,"La Seyne",,0,912968,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854436,"La Seyne",,0,912968,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854437,"La Seyne",,0,912969,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854438,"La Seyne",,0,912968,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854439,"La Seyne",,0,912969,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854440,"La Seyne",,0,912968,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854441,"La Seyne",,0,912969,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854442,"La Seyne",,0,912971,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854443,"La Seyne",,0,912971,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854444,"La Seyne",,0,912970,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854445,"La Seyne",,0,912968,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854446,"La Seyne",,0,912971,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854447,"La Seyne",,0,912968,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854448,"La Seyne",,0,912969,8M0011,1,2
8M,_M008SeS-Semaine-1-PA_24_25-1111100-,4854449,"La Seyne",,0,912969,8M0011,1,2
