service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
_M008DHv-Dimanche-1-PA_24_25-0000001-,0,0,0,0,0,0,0,20240201,20250228
_M008SaH-Samedi-1-PA_24_25-0000010-,0,0,0,0,0,0,0,20240201,20250228
_M008SeP-Semaine-1-PA_24_25-0000100-,0,0,0,0,0,0,0,20240201,20250228
_M008SeP-Semaine-1-PA_24_25-1111000-,0,0,0,0,0,0,0,20240201,20250228
_M008SeP-Semaine-1-PA_24_25-1111100-,0,0,0,0,0,0,0,20240201,20250228
_M008SeS-Semaine-1-PA_24_25-0000100-,0,0,0,0,0,0,0,20240201,20250228
_M008SeS-Semaine-1-PA_24_25-1111000-,0,0,0,0,0,0,0,20240201,20250228
_M008SeS-Semaine-1-PA_24_25-1111100-,0,0,0,0,0,0,0,20240201,20250228
_M018DHv-Dimanche-1-PA_24_25-0000001-,0,0,0,0,0,0,0,20240201,20250228
_M018SaH-Samedi-1-PA_24_25-0000010-,0,0,0,0,0,0,0,20240201,20250228
_M018SeP-Semaine-1-PA_24_25-0001100-,0,0,0,0,0,0,0,20240201,20250228
_M018SeP-Semaine-1-PA_24_25-1111100-,0,0,0,0,0,0,0,20240201,20250228
_M018SeS-Semaine-1-PA_24_25-0001100-,0,0,0,0,0,0,0,20240201,20250228
_M018SeS-Semaine-1-PA_24_25-1111100-,0,0,0,0,0,0,0,20240201,20250228
_M028DSc-Dimanche-1-PA_24_25-0000001-,0,0,0,0,0,0,0,20240201,20250228
_M028DVs-Dimanche-1-PA_24_25-0000001-,0,0,0,0,0,0,0,20240201,20250228
_M028SaH-Samedi-1-PA_24_25-0000010-,0,0,0,0,0,0,0,20240201,20250228
_M028SeP-Semaine-1-PA_24_25-0001100-,0,0,0,0,0,0,0,20240201,20250228
_M028SeP-Semaine-1-PA_24_25-1111100-,0,0,0,0,0,0,0,20240201,20250228
_M028SeS-Semaine-1-PA_24_25-0000100-,0,0,0,0,0,0,0,20240201,20250228
_M028SeS-Semaine-1-PA_24_25-0001100-,0,0,0,0,0,0,0,20240201,20250228
_M028SeS-Semaine-1-PA_24_25-0010000-,0,0,0,0,0,0,0,20240201,20250228
_M028SeS-Semaine-1-PA_24_25-1111000-,0,0,0,0,0,0,0,20240201,20250228
_M028SeS-Semaine-1-PA_24_25-1111100-,0,0,0,0,0,0,0,20240201,20250228
001-DiHv-Dimanche-1-PA_24_25-0000001-,0,0,0,0,0,0,0,20240201,20250228
001-LVSc-Semaine-3-PA_24_25-0001100-,0,0,0,0,0,0,0,20240201,20250228
001-LVSc-Semaine-3-PA_24_25-1111100-,0,0,0,0,0,0,0,20240201,20250228
001-LVVs-Semaine-1-PA_24_25-0001100-,0,0,0,0,0,0,0,20240201,20250228
