stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
BNBACE,,"Bassin Castigneau",43.120376,5.915221,,,0,,,1,,
BNBACO,,"Bassin Castigneau",43.120424,5.915138,,,0,,,1,,
BNBVIE,,"Base de Vie Ouest",43.117894,5.906932,,,0,,,1,,
BNBVIO,,"Base de Vie Ouest",43.11788,5.906779,,,0,,,1,,
BNCASN,,"Porte Castigneau",43.125722,5.921633,,,0,,,1,,
BNCHIE,,"Pont Chinois",43.119208,5.91544,,,0,,,1,,
BNCSPN,,"CSP Toulon",43.123044,5.910847,,,0,,,1,,
BNCSPS,,"CSP Toulon",43.122997,5.910811,,,0,,,1,,
BNDCNO,,"Naval Group",43.123796,5.916921,,,0,,,1,,
BNDDLE,,"Dupuy De Lôme",43.1231,5.919,,,0,,,1,,
BNESIE,,ESID,43.123834,5.909171,,,0,,,1,,
BNESIN,,ESID,43.123872,5.909051,,,0,,,1,,
BNESIO,,ESID,43.123574,5.908511,,,0,,,1,,
BNESNN,,ESNA,43.120358,5.91028,,,0,,,1,,
BNESNS,,ESNA,43.120224,5.91034,,,0,,,1,,
BNGENS,,Gendarmerie,43.122726,5.924975,,,0,,,1,,
BNGSBN,,GSBdD,43.124429,5.924531,,,0,,,1,,
BNINFE,,"Infirmerie Titan",43.119804,5.907732,,,0,,,1,,
BNINFO,,"Infirmerie Titan",43.119832,5.907656,,,0,,,1,,
BNJAUN,,"Jauréguiberry 1",43.125483,5.918613,,,0,,,1,,
BNJAUO,,"Jauréguiberry 2",43.125072,5.91873,,,0,,,1,,
BNJAUS,,"Jauréguiberry 1",43.125436,5.918541,,,0,,,1,,
BNLIGS,,Ligurienne,43.123675,5.922782,,,0,,,1,,
BNMI3S,,"Milhaud 3",43.115094,5.906942,,,0,,,1,,
BNMI6S,,"Milhaud 6",43.115476,5.902613,,,0,,,1,,
BNPNGS,,"Parking N.G",43.124668,5.920469,,,0,,,1,,
BNPOPN,,"Porte Principale",43.122821,5.928035,,,0,,,1,,
BNPOPS,,"Porte Principale",43.122145,5.928108,,,0,,,1,,
BNRARE,,"Restaurant Artillerie",43.121605,5.906762,,,0,,,1,,
BNRARO,,"Restaurant Artillerie",43.121603,5.90667,,,0,,,1,,
BNROCN,,Rocade,43.125642,5.91488,,,0,,,1,,
BNROCS,,Rocade,43.125588,5.914877,,,0,,,1,,
BNVAUF,,"Vauban (Base Navale)",43.118511,5.926846,,,0,,,1,,
BNVAUT,,"Vauban (Base Navale)",43.118569,5.926965,,,0,,,1,,
CAAL1N,,"Albert 1er",43.101716,6.067082,,,0,,,1,,
CAANEE,,Anémones,43.088066,6.099146,,,0,,,1,,
CAANEO,,Anémones,43.088016,6.098989,,,0,,,1,,
CAARBN,,Arbousiers,43.092319,6.056925,,,0,,,1,,
CAARPN,,Arpineti,43.098116,6.066729,,,0,,,1,,
CAARPS,,Arpineti,43.098072,6.066677,,,0,,,1,,
CABASE,,"Les Bastides",43.098154,6.088084,,,0,,,1,,
CABEAN,,"Beau Vézé",43.100942,6.059849,,,0,,,1,,
CABEAS,,"Beau Vézé",43.1008,6.059959,,,0,,,1,,
CABELE,,Bellevue,43.091984,6.066554,,,0,,,1,,
CABEN1,,"Benoite 1",43.100543,6.080099,,,0,,,1,,
CABEN2,,"Benoite 2",43.106617,6.082345,,,0,,,1,,
CABENO,,Benoite,43.098477,6.080017,,,0,,,1,,
CABRIE,,Beaurivage,43.08824,6.083885,,,0,,,1,,
CACALE,,Californie,43.085837,6.099807,,,0,,,1,,
CACALN,,Californie,43.085366,6.098906,,,0,,,1,,
CACALS,,Californie,43.08519,6.100132,,,0,,,1,,
CACANE,,Canebas,43.09634,6.069068,,,0,,,1,,
CACANO,,Canebas,43.096175,6.069104,,,0,,,1,,
CACARN,,Carqueiranne,43.092483,6.077273,,,0,,,1,,
CACARS,,Carqueiranne,43.092162,6.077453,,,0,,,1,,
CACATN,,"Carthage (Carqueiranne)",43.091694,6.079685,,,0,,,1,,
CACATS,,"Carthage (Carqueiranne)",43.091018,6.081062,,,0,,,1,,
CACBZE,,"Camping Beau Vézé",43.11471,6.05633,,,0,,,1,,
CACBZO,,"Camping Beau Vézé",43.114848,6.056304,,,0,,,1,,
CACIME,,"Cimetière (Carqueiranne)",43.095778,6.07773,,,0,,,1,,
CACJCS,,"Collège J.Curie (Carqueiranne)",43.09343,6.071886,,,0,,,1,,
CACOLN,,"Colle Noire (Carqueiranne)",43.103983,6.05462,,,0,,,1,,
CACOLS,,"Colle Noire (Carqueiranne)",43.1039,6.05462,,,0,,,1,,
CACURN,,"Pierre Curie",43.103397,6.065558,,,0,,,1,,
CADILN,,Diligence,43.108304,6.048105,,,0,,,1,,
CADILO,,Diligence,43.109457,6.048178,,,0,,,1,,
CADILS,,Diligence,43.108072,6.048355,,,0,,,1,,
CADILT,,Diligence,43.109833,6.048735,,,0,,,1,,
CAEURS,,"L'Europe (Carqueiranne)",43.09659,6.069202,,,0,,,1,,
CAEXUE,,"Maternelle St Exupéry",43.091251,6.070914,,,0,,,1,,
CAFERE,,"Ecole J. Ferry",43.094602,6.075031,,,0,,,1,,
CAGBAO,,"Grande Bastide",43.089197,6.071014,,,0,,,1,,
CAGCHO,,"Grand Chêne",43.0907,6.069691,,,0,,,1,,
CAMAJS,,Majorelle,43.096566,6.082158,,,0,,,1,,
CAPAGE,,"Ecole M. Pagnol",43.092717,6.070459,,,0,,,1,,
CAPANS,,"Paradis Nord",43.105231,6.063714,,,0,,,1,,
CAPARE,,"Paradis (Carqueiranne)",43.09853,6.065621,,,0,,,1,,
CAPARO,,"Paradis (Carqueiranne)",43.098471,6.065523,,,0,,,1,,
CAPASE,,"Paradis Sud",43.100118,6.066745,,,0,,,1,,
CAPASO,,"Paradis Sud",43.100126,6.06666,,,0,,,1,,
CAPENN,,Peno,43.087145,6.073252,,,0,,,1,,
CAPORO,,"Port Carqueiranne",43.087501,6.075082,,,0,,,1,,
CAPPEN,,"Pins Penchés 1",43.09035,6.083705,,,0,,,1,,
CAPPES,,"Pins Penchés 1",43.090044,6.084521,,,0,,,1,,
CAPPSE,,"Pins Penchés 2",43.08845,6.078623,,,0,,,1,,
CAQCAN,,"Quartier Californie",43.090407,6.097538,,,0,,,1,,
CARICO,,"Pr Richet",43.103251,6.066437,,,0,,,1,,
CAROUN,,"Corniche des Roubauds",43.098345,6.0771,,,0,,,1,,
CASRIS,,"Stade Riquier",43.091421,6.071429,,,0,,,1,,
CAVALE,,Valérane,43.088801,6.090608,,,0,,,1,,
CAVALO,,Valérane,43.088797,6.09039,,,0,,,1,,
CAVLLE,,Vallon,43.100558,6.089271,,,0,,,1,,
CAVPUO,,"Vieux Puits",43.097019,6.07042,,,0,,,1,,
CAVRON,,"Vieux Roubauds",43.098791,6.072293,,,0,,,1,,
CAVTEE,,"Vent d'Est",43.092205,6.067602,,,0,,,1,,
CRAMAS,,"Les Amandiers",43.167866,6.101734,,,0,,,1,,
CRAUDE,,"Ecole Audibert",43.153482,6.071166,,,0,,,1,,
CRAUDO,,"Ecole Audibert",43.153317,6.071255,,,0,,,1,,
CRAUGI,,Augier,43.168621,6.095017,,,0,,,1,,
CRAUGO,,"St Augustin",43.121932,6.058576,,,0,,,1,,
CRAULN,,"Les Aulnes",43.154551,6.090126,,,0,,,1,,
CRAULS,,"Les Aulnes",43.15452,6.090346,,,0,,,1,,
CRBEAN,,"Beauséjour (La Crau)",43.146306,6.078972,,,0,,,1,,
CRBEAS,,"Beauséjour (La Crau)",43.146229,6.079565,,,0,,,1,,
CRBERS,,"St Bernard",43.124862,6.052547,,,0,,,1,,
CRBMON,,"Belles Moeurs",43.146151,6.063504,,,0,,,1,,
CRBONE,,"Campagne Bonifay",43.131332,6.070741,,,0,,,1,,
CRBONO,,"Campagne Bonifay",43.130642,6.071464,,,0,,,1,,
CRBOUN,,"La Bouisse",43.117763,6.060705,,,0,,,1,,
CRBOUS,,"La Bouisse",43.117786,6.061016,,,0,,,1,,
CRCANS,,Canniers,43.168965,6.091589,,,0,,,1,,
CRCHJN,,"Château Jaune",43.131414,6.061194,,,0,,,1,,
CRCHJS,,"Château Jaune",43.131322,6.061203,,,0,,,1,,
CRCHLN,,"Chemin Long",43.131488,6.050554,,,0,,,1,,
CRCHLS,,"Chemin Long",43.131418,6.051278,,,0,,,1,,
CRCIME,,"Cimetière (La Crau)",43.151969,6.071771,,,0,,,1,,
CRCIMO,,"Cimetière (La Crau)",43.151739,6.071331,,,0,,,1,,
CRCJUS,,"Chemins des Juliens",43.121658,6.050841,,,0,,,1,,
CRCLAE,,Clairval,43.13817,6.057155,,,0,,,1,,
CRCLAO,,Clairval,43.13817,6.056808,,,0,,,1,,
CRCNAN,,"College La Navarre",43.195558,6.103749,,,0,,,1,,
CRCOLE,,"La Colette (La Crau)",43.136931,6.079643,,,0,,,1,,
CRCOLO,,"La Colette (La Crau)",43.136268,6.079597,,,0,,,1,,
CRCOOE,,"La Coopérative",43.145042,6.066314,,,0,,,1,,
CRCOOO,,"La Coopérative",43.145068,6.066164,,,0,,,1,,
CRCOUE,,Cougourdons,43.143085,6.062145,,,0,,,1,,
CRCOUO,,Cougourdons,43.142716,6.061585,,,0,,,1,,
CRCTMS,,"Ch. de Terrimas",43.120725,6.054799,,,0,,,1,,
CRCYPE,,Cyprès,43.157088,6.095342,,,0,,,1,,
CRCYPO,,Cyprès,43.156829,6.094881,,,0,,,1,,
CRDDUN,,"Dumont d'Urville",43.119067,6.067483,,,0,,,1,,
CRDDUS,,"Dumont d'Urville",43.119002,6.067425,,,0,,,1,,
CRESTE,,Estagnol,43.124167,6.073272,,,0,,,1,,
CRESTO,,Estagnol,43.124167,6.073153,,,0,,,1,,
CRFAUE,,"Les Faurys",43.150273,6.078922,,,0,,,1,,
CRFAUO,,"Les Faurys",43.150369,6.078963,,,0,,,1,,
CRFENO,,"College Fenouillet",43.148606,6.078157,,,0,,,1,,
CRGARE,,"La Gare (La Crau)",43.146243,6.067986,,,0,,,1,,
CRGARO,,"La Gare (La Crau)",43.146032,6.067561,,,0,,,1,,
CRGAVE,,Gavary,43.130238,6.076932,,,0,,,1,,
CRGAVO,,Gavary,43.129726,6.076522,,,0,,,1,,
CRGEN1,,"Genévriers 1",43.160456,6.097635,,,0,,,1,,
CRGEN2,,"Genévriers 2",43.163672,6.094083,,,0,,,1,,
CRGEN3,,"Genévriers 3",43.165625,6.095054,,,0,,,1,,
CRGENO,,"Genévriers 1",43.160173,6.098226,,,0,,,1,,
CRGIOO,,"Ecole J. Giono",43.147504,6.076016,,,0,,,1,,
CRGOFE,,"Goys Fourniers",43.135926,6.077331,,,0,,,1,,
CRGOFO,,"Goys  Fourniers",43.135723,6.076918,,,0,,,1,,
CRGRIS,,Grillons,43.115956,6.078349,,,0,,,1,,
CRHBEN,,"Hameau Bernard",43.128567,6.079032,,,0,,,1,,
CRHDUN,,"Haute Durande",43.118374,6.07767,,,0,,,1,,
CRHDUS,,"Haute Durande",43.118092,6.078542,,,0,,,1,,
CRHEBS,,"Hameau Bernard",43.128428,6.079059,,,0,,,1,,
CRJFEN,,"Jules Ferry",43.121477,6.075319,,,0,,,1,,
CRJFES,,"Jules Ferry",43.121422,6.075234,,,0,,,1,,
CRLAMO,,"M. Lambert",43.163673,6.101926,,,0,,,1,,
CRLAMS,,Lambert,43.140574,6.049867,,,0,,,1,,
CRLIME,,Limans,43.144901,6.078953,,,0,,,1,,
CRLIMO,,Limans,43.144626,6.078975,,,0,,,1,,
CRLMOE,,"La Moutonne",43.119478,6.073035,,,0,,,1,,
CRLMOO,,"La Moutonne",43.119376,6.072785,,,0,,,1,,
CRMARS,,"Les Martins",43.168393,6.098028,,,0,,,1,,
CRMARV,,Maraval,43.168874,6.086552,,,0,,,1,,
CRMAUE,,Maurric,43.151713,6.082931,,,0,,,1,,
CRMAUO,,Maurric,43.15163,6.082064,,,0,,,1,,
CRMMAN,,"Ecole M. Mauron",43.14413,6.07849,,,0,,,1,,
CRMOUN,,Moutonne,43.118991,6.070458,,,0,,,1,,
CRMOUS,,Moutonne,43.118934,6.070767,,,0,,,1,,
CRMRCE,,Maraichers,43.134107,6.056062,,,0,,,1,,
CRMRCO,,Maraichers,43.134126,6.055735,,,0,,,1,,
CRMREO,,"Mont Redon",43.162552,6.10046,,,0,,,1,,
CRNAVS,,"La Navarre",43.167156,6.104874,,,0,,,1,,
CRNDAN,,"Notre Dame",43.146438,6.084959,,,0,,,1,,
CRNDAS,,"Notre Dame",43.146359,6.084885,,,0,,,1,,
CRPAGO,,Pagnol,43.151543,6.083811,,,0,,,1,,
CRPALN,,"Louis Palazy",43.118412,6.078769,,,0,,,1,,
CRPASN,,Pasteur,43.149155,6.081441,,,0,,,1,,
CRPASS,,Pasteur,43.149067,6.081589,,,0,,,1,,
CRPINN,,Pinedou,43.16935,6.093403,,,0,,,1,,
CRPINS,,Pinedou,43.169099,6.093791,,,0,,,1,,
CRPION,,"Les Pioux",43.140736,6.051669,,,0,,,1,,
CRPIOS,,"Les Pioux",43.140693,6.051891,,,0,,,1,,
CRPNIO,,"Petit Nice",43.14969,6.086302,,,0,,,1,,
CRPOUE,,"Les Pourpres",43.149164,6.070244,,,0,,,1,,
CRPOUO,,"Les Pourpres",43.149132,6.070129,,,0,,,1,,
CRRGAN,,"Rd Point Gavary",43.129211,6.07395,,,0,,,1,,
CRROSE,,Roseraie,43.117259,6.079333,,,0,,,1,,
CRROSN,,Rosacrau,43.140693,6.04655,,,0,,,1,,
CRROSS,,Rosacrau,43.140648,6.046788,,,0,,,1,,
CRRUYE,,Ruytèle,43.132506,6.055295,,,0,,,1,,
CRRUYN,,"La Ruytèle",43.131604,6.054712,,,0,,,1,,
CRRUYO,,Ruytèle,43.13237,6.05503,,,0,,,1,,
CRRUYS,,"La Ruytèle",43.131511,6.054642,,,0,,,1,,
CRSANE,,Santolines,43.119097,6.080215,,,0,,,1,,
CRSAUN,,"Les Sauvans",43.153456,6.084888,,,0,,,1,,
CRSAUS,,"Les Sauvans",43.153055,6.084373,,,0,,,1,,
CRSESN,,"Stade Estagnol",43.120775,6.078229,,,0,,,1,,
CRSTAO,,"Ch. St Augustin",43.130667,6.045183,,,0,,,1,,
CRTAMN,,Tamagnon,43.140899,6.056887,,,0,,,1,,
CRTAMS,,Tamagnon,43.140822,6.05722,,,0,,,1,,
CRTNOS,,"Terre Noire",43.126873,6.048972,,,0,,,1,,
CRTOUN,,"Les Tourraches",43.144974,6.05347,,,0,,,1,,
CRTRAO,,Tramontane,43.117038,6.076403,,,0,,,1,,
CRVASE,,"Vallon du soleil",43.162378,6.096295,,,0,,,1,,
CRVENO,,"La Venne",43.166297,6.105753,,,0,,,1,,
CRVERN,,Verdillon,43.159459,6.097778,,,0,,,1,,
CRVERS,,Verdillon,43.158423,6.097005,,,0,,,1,,
GA1DFE,,"1ère DFL",43.124719,5.997077,,,0,,,1,,
GA1DFO,,"1ère DFL",43.125017,5.996873,,,0,,,1,,
GA4CH1,,"4 Chemins (Pauline)",43.137718,6.027625,,,0,,,1,,
GA4CH2,,"4 Chemins (Pauline)",43.137588,6.0275,,,0,,,1,,
GA4CH3,,"4 Chemins (Pauline)",43.137152,6.02685,,,0,,,1,,
GA4CH4,,"4 Chemins (Pauline)",43.137023,6.024862,,,0,,,1,,
GA4CH5,,"4 Chemins (Pauline)",43.137942,6.024907,,,0,,,1,,
GAAGOE,,Agora,43.129656,6.017215,,,0,,,1,,
GAAGOO,,Agora,43.129544,6.017189,,,0,,,1,,
GAAMAN,,Amandiers,43.113582,5.989883,,,0,,,1,,
GAAMAS,,Amandiers,43.113611,5.989481,,,0,,,1,,
GAAPRN,,"Auberge Provençale",43.134843,6.035401,,,0,,,1,,
GAAPRS,,"Auberge Provençale",43.134696,6.035281,,,0,,,1,,
GAAUBE,,Aubépine,43.115916,5.998245,,,0,,,1,,
GAAUBO,,Aubépine,43.116387,5.998256,,,0,,,1,,
GABOSN,,Bosquet,43.113079,5.980486,,,0,,,1,,
GABOWS,,Bowling,43.143623,6.0251,,,0,,,1,,
GABRAE,,Brassens,43.119065,5.999195,,,0,,,1,,
GABRAO,,Brassens,43.119012,5.999053,,,0,,,1,,
GABSJE,,"Beauséjour (La Garde)",43.120698,6.005266,,,0,,,1,,
GABSJO,,"Beauséjour (La Garde)",43.120526,6.005134,,,0,,,1,,
GAC29N,,"CD 29",43.139278,6.037933,,,0,,,1,,
GAC29S,,"CD 29",43.139469,6.038202,,,0,,,1,,
GACAMN,,"Campus La Garde/La Valette",43.138304,6.018368,,,0,,,1,,
GACAMS,,"Campus La Garde/La Valette",43.138056,6.018473,,,0,,,1,,
GACASE,,Castelles,43.124472,6.016115,,,0,,,1,,
GACASO,,Castelles,43.124347,6.015746,,,0,,,1,,
GACATT,,"CAT Vert",43.155866,6.049361,,,0,,,1,,
GACESE,,"Collège Cousteau",43.127797,6.014757,,,0,,,1,,
GACESO,,"Collège Cousteau",43.127221,6.014988,,,0,,,1,,
GACHAE,,Chapelle,43.107566,5.991272,,,0,,,1,,
GACHAO,,Chapelle,43.107505,5.991111,,,0,,,1,,
GACIME,,"Cimetière (La Garde)",43.131282,6.010673,,,0,,,1,,
GACIMO,,"Cimetière (La Garde)",43.131104,6.010693,,,0,,,1,,
GACITN,,Citronniers,43.117145,6.002694,,,0,,,1,,
GACITS,,Citronniers,43.117103,6.002747,,,0,,,1,,
GACLON,,"Le Clos",43.135963,6.031348,,,0,,,1,,
GACLOS,,"Le Clos",43.13571,6.031513,,,0,,,1,,
GACLUE,,"Pont de la Clue",43.108528,5.998729,,,0,,,1,,
GACLUI,,"Pont de la Clue",43.108393,5.998454,,,0,,,1,,
GACLUO,,"Pont de la Clue",43.108178,5.998232,,,0,,,1,,
GADAUE,,"Daudet (La Garde)",43.122608,6.004834,,,0,,,1,,
GADAUO,,"Daudet (La Garde)",43.122375,6.004736,,,0,,,1,,
GADELN,,Delage,43.125066,6.005398,,,0,,,1,,
GADELS,,Delage,43.12498,6.005669,,,0,,,1,,
GADRAE,,Draguignan,43.143127,6.037693,,,0,,,1,,
GADRAO,,Draguignan,43.14287,6.037299,,,0,,,1,,
GADUCS,,Duclos,43.119347,6.007638,,,0,,,1,,
GAEYGE,,Eygoutier,43.118232,6.011074,,,0,,,1,,
GAEYGO,,Eygoutier,43.118019,6.01091,,,0,,,1,,
GAFLEN,,Fleurie,43.113136,5.992355,,,0,,,1,,
GAFLES,,Fleurie,43.113033,5.993196,,,0,,,1,,
GAGACN,,"Garde Centre",43.124954,6.010058,,,0,,,1,,
GAGACS,,"Garde Centre",43.124862,6.009985,,,0,,,1,,
GAGADN,,Gardanne,43.123925,6.006095,,,0,,,1,,
GAGADS,,Gardanne,43.123665,6.005514,,,0,,,1,,
GAGAR1,,"Gare (La Garde)",43.119483,6.010035,,,0,,,1,,
GAGENE,,Geneviève,43.111196,5.984471,,,0,,,1,,
GAGENO,,Geneviève,43.111097,5.984398,,,0,,,1,,
GAGINN,,Ginouse,43.116173,5.984652,,,0,,,1,,
GAGINS,,Ginouse,43.11591,5.984969,,,0,,,1,,
GAGPAE,,"Gare Pauline",43.136102,6.035435,,,0,,,1,,
GAGPAO,,"Gare Pauline",43.13606,6.035298,,,0,,,1,,
GAGPHE,,"Gérard Philipe",43.126393,6.009802,,,0,,,1,,
GAGPHO,,"Gérard Philipe",43.12646,6.009692,,,0,,,1,,
GAGUES,,Guès,43.113878,5.981351,,,0,,,1,,
GAGYMN,,Gymnase,43.120209,6.010041,,,0,,,1,,
GAGYMS,,Gymnase,43.119332,6.00765,,,0,,,1,,
GAGYNN,,Gymnase/Gare,43.120223,6.010033,,,0,,,1,,
GAGYNS,,Gymnase/Gare,43.120139,6.009995,,,0,,,1,,
GAHERN,,"Herminier (La Garde)",43.128711,6.018823,,,0,,,1,,
GAHERS,,"Herminier (La Garde)",43.128544,6.019005,,,0,,,1,,
GAHOPE,,"Hôp. Clémenceau",43.131766,6.01618,,,0,,,1,,
GAHOPO,,"Hôp. Clémenceau",43.131816,6.015908,,,0,,,1,,
GAHVIE,,"Hôtel de Ville",43.123799,6.009705,,,0,,,1,,
GAHVIO,,"Hôtel de Ville",43.124244,6.009377,,,0,,,1,,
GAJAVE,,"Jardin Veyret",43.128663,6.014096,,,0,,,1,,
GAJAVO,,"Jardin Veyret",43.128562,6.013926,,,0,,,1,,
GALANN,,"Langevin (La Garde)",43.123313,6.013808,,,0,,,1,,
GALANS,,"Langevin (La Garde)",43.123317,6.013963,,,0,,,1,,
GALEME,,"Le Mas",43.111706,5.987733,,,0,,,1,,
GALEMO,,"Le Mas",43.111546,5.987788,,,0,,,1,,
GALIAN,,Lianes,43.115676,5.984232,,,0,,,1,,
GALIAS,,Lianes,43.115583,5.984168,,,0,,,1,,
GALISE,,Liserons,43.129248,6.021893,,,0,,,1,,
GALISO,,Liserons,43.129118,6.021402,,,0,,,1,,
GALMAN,,"Louis Masson",43.123986,6.000005,,,0,,,1,,
GALMAS,,"Louis Masson",43.123746,6.000065,,,0,,,1,,
GALOTE,,Loti,43.110382,5.99013,,,0,,,1,,
GALOTO,,Loti,43.110376,5.989912,,,0,,,1,,
GALSMN,,"Les Mas",43.117178,5.989689,,,0,,,1,,
GALSMS,,"Les Mas",43.11757,5.990631,,,0,,,1,,
GAMARN,,Marthoune,43.107168,5.996678,,,0,,,1,,
GAMARS,,Marthoune,43.106996,5.996388,,,0,,,1,,
GAMASN,,Masets,43.112769,5.984067,,,0,,,1,,
GAMCUN,,"Marie Curie",43.120852,6.003985,,,0,,,1,,
GAMCUS,,"Marie Curie",43.120799,6.003977,,,0,,,1,,
GAMOCN,,Mocquet,43.130947,6.022056,,,0,,,1,,
GAMOCS,,Mocquet,43.130863,6.022268,,,0,,,1,,
GAMOME,,Montmeyan,43.126863,5.999387,,,0,,,1,,
GAMOMO,,Montmeyan,43.126864,5.999177,,,0,,,1,,
GAMONE,,Montesarchio,43.131508,6.008407,,,0,,,1,,
GAMONO,,Montesarchio,43.131901,6.008429,,,0,,,1,,
GAMUNE,,Municipaux,43.115016,6.012724,,,0,,,1,,
GAMUNO,,Municipaux,43.114502,6.013258,,,0,,,1,,
GANOLN,,"La Nôle",43.118161,5.992687,,,0,,,1,,
GANOLS,,"La Nôle",43.118108,5.992851,,,0,,,1,,
GAOASN,,Oasis,43.119771,5.995995,,,0,,,1,,
GAOASS,,Oasis,43.119455,5.995701,,,0,,,1,,
GAOUTE,,Outremer,43.108971,5.984336,,,0,,,1,,
GAOUTO,,Outremer,43.108983,5.984275,,,0,,,1,,
GAPAPE,,Papin,43.113304,6.001536,,,0,,,1,,
GAPAPO,,Papin,43.112999,6.001292,,,0,,,1,,
GAPATE,,"Pôle d'Activité Toulon Est",43.140823,6.035658,,,0,,,1,,
GAPATN,,Patinoire,43.12157,6.000594,,,0,,,1,,
GAPATO,,"Pôle d'Activité Toulon Est",43.140681,6.035253,,,0,,,1,,
GAPATS,,Patinoire,43.121808,6.001498,,,0,,,1,,
GAPDSN,,"Parc des Sports",43.135595,6.028503,,,0,,,1,,
GAPDSS,,"Parc des Sports",43.135468,6.028603,,,0,,,1,,
GAPIEN,,"St Pierre",43.106878,5.992072,,,0,,,1,,
GAPIES,,"St Pierre",43.106876,5.991785,,,0,,,1,,
GAPLAN,,Planquette,43.132411,6.017403,,,0,,,1,,
GAPLAS,,Planquette,43.132457,6.017341,,,0,,,1,,
GAPOSE,,"Poste (La Garde)",43.122423,6.010005,,,0,,,1,,
GAPOSO,,"Poste (La Garde)",43.122249,6.009975,,,0,,,1,,
GAPOUN,,Pouverel,43.113064,5.996278,,,0,,,1,,
